cell,fusion,alpha,top_k_stage1,rerank,rerank_model,truncation,mode,final_k,query_idx,question,origin_chunk_id,gold_in_stage1_pool,stage1_size,rerank_top_score,rerank_bottom_score,rerank_latency_ms,hit_rank,recall_at_5,mrr10,ndcg_at_10
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,83,Why don't brace expansions work as operands in [ ] in shell scripting and how to use a loop instead?,01KSHSND7C5TW48B51CVXFECD7,0,50,11.0625,9.125,909.4,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,84,What is the content of the SC2194.md file?,01KSHSND7E11QCWD5Q229HH0DQ,1,50,6.8125,4.0625,154.2,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,85,readline movement commands for navigating the shell,01KSHSNCED2D452QRAE3F3AF8K,1,50,7.0625,4.875,752.5,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,86,How do I invoke a shell command from a non-shell application?,01KSHSNCY946PNBNSVW71RNRWR,1,50,8.125,-0.25,719.6,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,87,ShellCheck SC2290 exceptions,01KSHSND6QBQ1AEQ4RK8S13YJ9,0,50,6.8125,5.5,638.3,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,88,What is the shebang line and how is it used in Unixoid operating systems to execute scripts?,01KSHSND46W1GXEAEXVHK1NPFP,1,50,8.3125,4.5625,611.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,89,Bash -n instead of ! -z exceptions and variable quoting,01KSHSND742RHZ7F1N89H7XG66,1,50,8.375,4.9375,649.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,90,How does the shell use quotes to suppress interpretation of special syntax in patterns and regular expressions?,01KSHSND16GFQMW1QEH51E1Y24,1,50,9.0,6.5625,700.3,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,91,how to ignore Grep regex glob exception,01KSHSND8BCP32XBQGBNDNBFX2,1,50,5.1875,1.6875,714.1,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,92,Why is it bad to use unquoted variables in bash echo commands?,01KSHSND17WD31P47E6H538W74,0,50,5.75,4.25,691.5,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,93,SC2331.md content,01KSHSND6C52H1DDTSWM1BGBH5,1,50,7.125,4.375,156.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,94,What is the content of SC2306.md?,01KSHSND6K586X2AYAVWDQ3FD3,1,50,7.0625,3.25,144.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,95,how to check if a glob matches exactly one file in a shell script exception,01KSHSND7C5TW48B51CVXFECCZ,1,50,11.0,5.1875,865.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,96,portability considerations for classic C for-loop,01KSHSND57SC10B1D3RNH504KK,1,50,7.75,5.125,504.9,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,97,What is the content of the SC2162.md section?,01KSHSND7MQG1WTBRXY3V2NH9V,1,50,6.125,3.75,153.8,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,98,how to make variables available to child processes in bash using export,01KSHSND3BQTBXN8SE39N525HR,1,50,7.125,4.0,705.8,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,99,How to preserve the original IFS value in Bash when modifying it temporarily?,01KSHSND0ZXS6J01231KDWVSX0,1,50,7.4375,3.875,719.8,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,100,"How does Bash handle quoting and escaping in shell scripting, and what is the difference between weak and strong quoting with double and single quotes?",01KSHSND29XQFMAJD6JHF65W0C,1,50,8.1875,4.875,1051.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,101,"Difference between ""$@"" and ""$*"" in Bash when expanding argument lists",01KSHSND16GFQMW1QEH51E1Y1X,1,50,8.25,5.3125,674.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,102,"How does the (String) length parameter expansion work for arrays in Bash, particularly with mass subscripts like @ and *?",01KSHSND2C96YRDCSAFXQ3C820,1,50,9.375,7.1875,925.9,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,103,Bash 4 command not found handle function set -e behavior BASH_XTRACEFD syslog history,01KSHSND1YNR67T1RZHEJ8W7DA,1,50,10.0,5.0,664.9,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,104,How to use && and || in shell scripting as a shortcut for if-then-else constructs?,01KSHSND0XZ1NHJA7DM0PQC6ZG,1,50,8.0625,4.5,722.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,105,expr expects 3+ arguments but sees 1,01KSHSND6K586X2AYAVWDQ3FD2,0,50,7.9375,-0.1875,502.6,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,106,What is arithmetic expansion in Bash and how is it used with $(( ))?,01KSHSND1898XBP2H1K7E6AEKH,1,50,9.0,8.3125,663.7,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,107,How to automate ssh scp sftp connection and send password in bash script?,01KSHSNCWTSYN79T85P20X2VDW,1,50,6.5,-2.375,680.2,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,108,bash invocation no startup files ignored environment variables effective user id,01KSHSNCM320QBKMZQHFNG3WVH,1,50,10.0625,5.75,802.5,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,109,POSIX sh trapping ERR undefined,01KSHSND60YGE9F11ANBZ8VMV9,0,50,9.1875,6.25,638.3,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,110,What is the content of SC2312.md?,01KSHSND6HKN2H531PAN599NW2,1,50,6.5,4.0625,145.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,111,shell array parameters declare local readonly -a -A options,01KSHSNCQB5HVZMYCPCKGA8DR9,1,50,8.4375,7.375,726.0,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,112,Bash version changes and features table,01KSHSND3EZ7J45GRB6ERJ0KYJ,0,50,6.875,6.25,871.2,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,113,how to implement a collapsing function in bash with verbose output example,01KSHSND43KMB9V47MMFW4RYTQ,1,50,9.375,-2.4375,683.6,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,114,I'm trying to write a script that will change directory but after the script finishes I'm back where I started,01KSHSNCZ2SMXP406DPZGG8PHT,1,50,7.25,3.6875,930.9,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,115,how does brace expansion work with string lists and prefix/suffix examples,01KSHSND524SC4G5ZBXZEJ6Q0Y,1,50,8.75,7.625,996.2,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,116,SC2083 exceptions none,01KSHSND85B7WBD71QPWX99YRS,0,50,3.3125,3.25,146.3,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,117,Bash built-in variables version history,01KSHSND3EZ7J45GRB6ERJ0KYE,1,50,8.0,5.25,1070.7,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,118,how to find the newest file in a posix shell script using find and modification time,01KSHSND09JAAR298H1QFGWGPP,1,50,7.25,3.8125,653.3,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,119,Why is using 'function' keyword non-standard in shell scripts? Use 'foo()' instead of 'function foo'?,01KSHSND7Y77DJF83KS6KVFKQ6,0,50,9.875,7.0,718.7,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,120,how to check syntax for command ending with slash,01KSHSND6R2KF0GY78D52GR4BT,0,50,6.9375,2.0,647.4,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,121,Why is $0 not an option for determining the location of my script?,01KSHSNCYJDM65C0GCJTVGWA2B,1,50,8.875,4.8125,864.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,122,How does shellmath handle decimal numbers by splitting them into integer and fractional parts?,01KSHSNCHW3R2PVWJ2FKGJEYN5,1,50,8.875,1.0,877.9,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,123,How do I create a progress bar? How do I see a progress indicator when copying/moving files?,01KSHSNCWSSY4YAR6GJFP37AMD,1,50,7.9375,6.625,856.5,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,124,Bash difference between [[ $path = foo* ]] and [[ $path =~ $re ]] pattern matching,01KSHSND16GFQMW1QEH51E1Y25,1,50,7.875,5.6875,685.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,125,Why use hard-coded ANSI escape sequences instead of tput for terminal colors due to broken terminfo databases?,01KSHSNCYSZ3RQ555QEF1PNF4T,1,50,7.8125,6.75,904.3,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,126,How to avoid $? being overwritten by echo/printf commands in Bash?,01KSHSND6FF0PQREG89BPM4K9C,1,50,7.9375,4.25,688.2,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,127,How do I create a progress bar? How do I see a progress indicator when copying/moving files?,01KSHSNCYV1HGTJTVYYQ0F4XZB,1,50,7.9375,6.625,858.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,128,What is the exception for using double parentheses in arithmetic contexts according to SC2322?,01KSHSND6E3VD5XR39D6G0PKH9,0,50,6.5,-0.8125,401.1,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,129,POSIX sh test -N undefined exceptions,01KSHSND5X5MP76817PE6JQCB0,1,50,9.625,6.5,508.2,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,130,man rbash restricted shell section,01KSHSNC3EV2VK442CXJJEXA62,1,50,8.5625,7.125,664.0,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,131,How to group commands in a shell script using curly braces and what is the required syntax termination?,01KSHSND55K23TNHE25DFVCS7A,1,50,7.3125,5.8125,727.0,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,132,how to group commands in a subshell in bash,01KSHSND54YTYJEYS9K8ZXGHET,1,50,8.0625,5.875,711.3,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,133,How to properly unset elements in a Bash sparse array to avoid unintended filename globbing,01KSHSNCW3R71A0GZ9G7SWC86Q,1,50,8.625,6.25,1052.7,4,1,0.250000,0.430677
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,134,SC3004.md,01KSHSND6ATWC18CSYZ7DJVB5F,1,50,8.8125,3.9375,144.0,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,135,sh manpage arithmetic evaluation operators precedence,01KSHSNCQJ1A9C66WXK6EQZRTF,1,50,7.4375,6.0625,722.7,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,136,What are the related topics and resources for conditional expressions in shell scripting?,01KSHSND56XW467HCJ7KSQQDCR,0,50,6.4375,6.25,1033.1,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,137,Bash syntax error command ending with apostrophe,01KSHSND6R2KF0GY78D52GR4BP,0,50,5.625,1.25,643.2,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,138,BashSheet basic structures examples,01KSHSND1B99JABS5DV0BKMXWW,1,50,9.1875,-0.8125,669.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,139,How can I find tutorials and references for using the ed text editor in scripts?,01KSHSND41FNN7K4EZMCVP8W76,1,50,7.6875,3.4375,796.2,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,140,Bash built-in commands for process and job control,01KSHSND1W4B91A01WT4H9VY66,1,50,7.625,6.5625,830.5,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,141,How to enable SC2248 ShellCheck rule for quote-safe-variables directive?,01KSHSND7134J7BG168ANNMGNH,1,50,10.0,4.5,645.4,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,142,order of expansions and substitutions in Bash,01KSHSND4ZG6ZXHS42S8C1W7J2,1,50,8.25,6.125,951.9,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,143,Bash exceptions to using -n for string checks,01KSHSND72Q2J0M283QJZ2N8PH,0,50,6.875,5.375,811.5,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,144,"How does Bash handle command substitution with $(...), including trailing newlines, word splitting, quoting, and potential conflicts with arithmetic expansion?",01KSHSND50RBT9PVVBZPWAP611,1,50,8.9375,6.1875,775.2,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,145,sh manpage,01KSHSNCPXD8TW3C84BBBF9V22,1,50,4.5,-1.0,677.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,146,How to perform floating-point calculations directly in Bash using shellmath?,01KSHSNCHW3R2PVWJ2FKGJEYN6,1,50,10.375,5.625,697.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,147,decode binary data to ascii in bash script bindec.bash nul character issue,01KSHSNCZ2SMXP406DPZGG8PHP,1,50,9.625,2.875,1355.2,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,148,Bash select command alternative syntax using braces,01KSHSND53W492KBD9TP73G49C,1,50,8.0625,3.0625,786.5,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,149,hardlink definition and characteristics in filesystem,01KSHSND46W1GXEAEXVHK1NPFR,1,50,6.0,3.6875,633.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,150,how to check if a variable is defined in bash using parameter expansion,01KSHSND2B0BDE2GED8HP41C8S,1,50,7.625,5.125,722.6,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,151,POSIX regex differences between expr grep and awk BRE ERE,01KSHSNCYV1HGTJTVYYQ0F4XZ6,1,50,8.0625,1.6875,727.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,152,How can I get a file's permissions or metadata without parsing ls -l output in Bash?,01KSHSNCWTSYN79T85P20X2VE5,1,50,7.9375,4.0,755.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,153,Portability considerations when grouping commands in subshells using curly braces in shell scripts,01KSHSND55K23TNHE25DFVCS7D,1,50,9.6875,5.0625,681.7,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,154,Are there exceptions for file descriptors outside 0-9 in POSIX sh?,01KSHSND66G6AE7M0BECZKRESY,0,50,8.5625,3.5,496.4,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,155,caller command synopsis,01KSHSND4VD23GPDDXCA8SBTXY,1,50,7.75,-1.625,671.3,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,156,SC3040.md,01KSHSND626BG6M5VQZPTXSRT5,1,50,8.9375,5.3125,146.5,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,157,How to capture command output including stderr and preserve trailing newlines in shell command substitution examples?,01KSHSND51CVJPFQYVZ54NF103,1,50,7.875,5.875,716.0,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,158,"How do the -f and -F options with declare/typeset in Bash handle function definitions, exporting functions via export -f, and managing recursion depth with FUNCNEST?",01KSHSNCE5MGYZ6KG5H4WKB5K6,1,50,8.5,6.0,766.8,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,159,"How does brace expansion differ from glob patterns in shell, including examples and expansion order?",01KSHSNCVTBK4Z0KH8CKT7V9P5,1,50,8.375,7.375,1075.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,160,Bash cd error checking best practices,01KSHSND0XZ1NHJA7DM0PQC6ZD,1,50,7.9375,4.375,766.9,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,161,while loop synopsis and description,01KSHSND53W492KBD9TP73G498,1,50,7.5,-0.125,707.8,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,162,POSIX dynamically scoped variables advantages disadvantages recursive functions,01KSHSND03NFTP3G8T55ZNXHJS,1,50,7.5,4.0,649.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,163,redirect stderr to pipe while keeping stdout in Bourne shell,01KSHSNCYYZM60SYFKY30B86HD,1,50,8.5,6.1875,690.7,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,164,What is the content of SC3017.md?,01KSHSND67WNTZXN4NN2T3E7VY,1,50,7.3125,3.75,147.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,165,Bash style guide [ -n ] vs ! [ -z ] exceptions,01KSHSND742RHZ7F1N89H7XG61,1,50,8.6875,6.125,761.2,5,1,0.200000,0.386853
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,166,Bash echo $foo causes massive confusion word splitting and globbing issues,01KSHSND0WB3XTRKXW8N9FQJ9R,1,50,8.5,5.0,685.0,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,167,why won't sudo cd work?,01KSHSND75W7JNHEFG0EQQ6VNG,1,50,6.8125,0.9375,694.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,168,What is the content of SC2168.md?,01KSHSND7KZDPQTK94MAKVKX9Y,1,50,7.375,4.3125,145.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,169,How can decimal arithmetic be implemented in Bash given its lack of built-in floating point operators?,01KSHSNCHW3R2PVWJ2FKGJEYN4,1,50,7.625,6.125,869.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,170,SC2320.md content,01KSHSND6E3VD5XR39D6G0PKHE,1,50,6.875,4.125,157.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,171,how to find and replace in files using bash and vim with confirmation,01KSHSNCYCAFVK2WG11EX2D4T3,1,50,7.5625,1.0,719.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,172,SC2218.md content,01KSHSND78AMN1GGKMR9A6VV26,1,50,7.3125,4.0625,145.6,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,173,What are the main sections and topics covered in the FullBashGuide?,01KSHSNCVMXSCY0EJ8WGAYRBW3,1,50,6.5625,2.25,670.5,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,174,SC2268.md content,01KSHSND6WXHF5SA9VWMMF4RD2,1,50,7.3125,4.125,144.7,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,175,How to use Bash read with timeout and prompt for user input,01KSHSNCZ9VNV59GGXQBJHHBP6,1,50,7.5,5.625,968.7,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,176,Bash common utility functions die function example,01KSHSND0B8XMR5T4FNEFE4HBZ,1,50,10.75,5.25,680.8,2,1,0.500000,0.630930
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,177,What are the components of the command execution environment in Bash?,01KSHSNCE7805DC7044B7KVJND,1,50,7.75,4.0625,927.7,3,1,0.333333,0.500000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,178,why does using $partial_path_version in a curl URL cause variable expansion issues in shell scripts,01KSHSND70N24Z1J933N5FEAP0,1,50,10.125,-0.3125,660.9,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,179,shellcheck SC2145 $@ mixing string and array exceptions,01KSHSND7RW6EHB6V6W4HZ8ZM7,1,50,7.8125,6.5,644.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,180,ln command no destination error,01KSHSND775ZN7PEKH8PZ3G097,0,50,6.75,-3.75,634.6,0,0,0.000000,0.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,181,how to format time command output to show hours minutes and seconds using awk and TIMEFORMAT=%R,01KSHSNCYMN2Q532ZZ8ABSC490,1,50,7.3125,2.875,1015.1,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,182,SC2077.md content,01KSHSND860E18852HZDRHQ175,1,50,7.125,4.3125,147.4,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,183,how does quoting the delimiter in a bash here document affect content expansion and quote removal?,01KSHSND16GFQMW1QEH51E1Y27,1,50,8.6875,6.8125,771.3,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,184,Why is using strings to store multiple values in Bash considered problematic and what are the delimiter issues involved?,01KSHSNCW04DW406NRVKW3S35D,1,50,7.125,6.3125,640.2,1,1,1.000000,1.000000
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,185,how to use set -x and set +x for debugging in bash scripts,01KSHSND4FQD64VB6STNK8TDRR,1,50,8.875,5.3125,697.5,1,1,1.000000,1.000000
